genes,Entry,Entry Name,Protein,Gene,Organism,Status,GO-Biological process,Biological process,Molecular function,Ligand
SCAMP3,Q0II22,RN126_BOVIN,E3 ubiquitin-protein ligase RNF126,RNF126,Bos taurus (Bovine),Reviewed,"cytoplasm protein quality control by the ubiquitin-proteasome system negative regulation of epidermal growth factor receptor signaling pathway proteasome-mediated ubiquitin-dependent protein catabolic process protein K48-linked ubiquitination protein K63-linked ubiquitination protein monoubiquitination regulation of cell population proliferation retrograde transport, endosome to Golgi ubiquitin-dependent protein catabolic process ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",Ubl conjugation pathway,Transferase,"Metal-binding, Zinc"
FAM189B,G3MWX0,G3MWX0_BOVIN,E3 ubiquitin-protein ligase RNF126,RNF126,Bos taurus (Bovine),Reviewed,"cytoplasm protein quality control by the ubiquitin-proteasome system negative regulation of epidermal growth factor receptor signaling pathway proteasome-mediated ubiquitin-dependent protein catabolic process protein K48-linked ubiquitination protein K63-linked ubiquitination protein monoubiquitination regulation of cell population proliferation retrograde transport, endosome to Golgi ubiquitin-dependent protein catabolic process ubiquitin-dependent protein catabolic process via the multivesicular body sorting pathway",Ubl conjugation pathway,Transferase,"Metal-binding, Zinc"
GBA,Q2KHZ8,GLCM_BOVIN,Lysosomal acid glucosylceramidase,GBA,Bos taurus (Bovine),Reviewed,autophagy cholesterol metabolic process glucosylceramide catabolic process lipid glycosylation lysosome organization regulation of TOR signaling,"Cholesterol metabolism, Lipid metabolism, Sphingolipid metabolism, Steroid metabolism, Sterol metabolism","Glycosidase, Glycosyltransferase, Hydrolase, Transferase",
MTX1,Q3ZCH0,GRP75_BOVIN,"Stress-70 protein, mitochondrial",HSPA9,Bos taurus (Bovine),Reviewed,cellular response to unfolded protein Gaudet P. chaperone cofactor-dependent protein refolding Gaudet P. erythrocyte differentiation iron-sulfur cluster assembly negative regulation of erythrocyte differentiation negative regulation of hematopoietic stem cell differentiation negative regulation of hemopoiesis protein export from nucleus protein refolding Gaudet P. regulation of erythrocyte differentiation,,Chaperone,"ATP-binding, Nucleotide-binding"
THBS3,A0A3Q1MQX0,A0A3Q1MQX0_BOVIN,"Stress-70 protein, mitochondrial",HSPA9,Bos taurus (Bovine),Reviewed,cellular response to unfolded protein Gaudet P. chaperone cofactor-dependent protein refolding Gaudet P. erythrocyte differentiation iron-sulfur cluster assembly negative regulation of erythrocyte differentiation negative regulation of hematopoietic stem cell differentiation negative regulation of hemopoiesis protein export from nucleus protein refolding Gaudet P. regulation of erythrocyte differentiation,,Chaperone,"ATP-binding, Nucleotide-binding"
MUC1,Q8WML4,MUC1_BOVIN,,,,,,,,
TRIM46,E1BBE9,E1BBE9_BOVIN,,,,,,,,
KRTCAP2,A6QQ59,KTAP2_BOVIN,Keratinocyte-associated protein 2,KRTCAP2,Bos taurus (Bovine),Reviewed,protein N-linked glycosylation via arginine Gaudet P.,,,
DPM3,Q3ZC71,DPM3_BOVIN,Keratinocyte-associated protein 2,KRTCAP2,Bos taurus (Bovine),Reviewed,protein N-linked glycosylation via arginine Gaudet P.,,,
SLC50A1,E1BK22,E1BK22_BOVIN,Keratinocyte-associated protein 2,KRTCAP2,Bos taurus (Bovine),Reviewed,protein N-linked glycosylation via arginine Gaudet P.,,,
EFNA1,Q3ZC64,EFNA1_BOVIN,Ephrin-A1,EFNA1,Bos taurus (Bovine),Reviewed,angiogenesis aortic valve morphogenesis axon guidance Gaudet P. cell migration endocardial cushion to mesenchymal transition involved in heart valve formation ephrin receptor signaling pathway mitral valve morphogenesis negative regulation of dendritic spine morphogenesis negative regulation of epithelial to mesenchymal transition negative regulation of MAPK cascade negative regulation of proteolysis involved in cellular protein catabolic process negative regulation of thymocyte apoptotic process negative regulation of transcription by RNA polymerase II notochord formation positive regulation of amyloid-beta formation positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process positive regulation of MAPK cascade positive regulation of protein tyrosine kinase activity protein stabilization regulation of angiogenesis regulation of axonogenesis regulation of blood vessel endothelial cell migration regulation of cell adhesion mediated by integrin regulation of peptidyl-tyrosine phosphorylation substrate adhesion-dependent cell spreading,Angiogenesis,,
EFNA3,F1N163,F1N163_BOVIN,Ephrin-A1,EFNA1,Bos taurus (Bovine),Reviewed,angiogenesis aortic valve morphogenesis axon guidance Gaudet P. cell migration endocardial cushion to mesenchymal transition involved in heart valve formation ephrin receptor signaling pathway mitral valve morphogenesis negative regulation of dendritic spine morphogenesis negative regulation of epithelial to mesenchymal transition negative regulation of MAPK cascade negative regulation of proteolysis involved in cellular protein catabolic process negative regulation of thymocyte apoptotic process negative regulation of transcription by RNA polymerase II notochord formation positive regulation of amyloid-beta formation positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process positive regulation of MAPK cascade positive regulation of protein tyrosine kinase activity protein stabilization regulation of angiogenesis regulation of axonogenesis regulation of blood vessel endothelial cell migration regulation of cell adhesion mediated by integrin regulation of peptidyl-tyrosine phosphorylation substrate adhesion-dependent cell spreading,Angiogenesis,,
EFNA4,A6QLY0,A6QLY0_BOVIN,Ephrin-A1,EFNA1,Bos taurus (Bovine),Reviewed,angiogenesis aortic valve morphogenesis axon guidance Gaudet P. cell migration endocardial cushion to mesenchymal transition involved in heart valve formation ephrin receptor signaling pathway mitral valve morphogenesis negative regulation of dendritic spine morphogenesis negative regulation of epithelial to mesenchymal transition negative regulation of MAPK cascade negative regulation of proteolysis involved in cellular protein catabolic process negative regulation of thymocyte apoptotic process negative regulation of transcription by RNA polymerase II notochord formation positive regulation of amyloid-beta formation positive regulation of aspartic-type endopeptidase activity involved in amyloid precursor protein catabolic process positive regulation of MAPK cascade positive regulation of protein tyrosine kinase activity protein stabilization regulation of angiogenesis regulation of axonogenesis regulation of blood vessel endothelial cell migration regulation of cell adhesion mediated by integrin regulation of peptidyl-tyrosine phosphorylation substrate adhesion-dependent cell spreading,Angiogenesis,,
ADAM15,P46196,MK01_BOVIN,Mitogen-activated protein kinase 1,MAPK1,Bos taurus (Bovine),Reviewed,apoptotic process B cell receptor signaling pathway Bergmann glial cell differentiation cardiac neural crest cell development involved in heart development cell cycle cell surface receptor signaling pathway Gaudet P. cellular response to amino acid starvation cellular response to cadmium ion cellular response to DNA damage stimulus cellular response to dopamine cellular response to granulocyte macrophage colony-stimulating factor stimulus cellular response to reactive oxygen species cellular response to tumor necrosis factor cytosine metabolic process ERBB signaling pathway ERK1 and ERK2 cascade face development intracellular signal transduction Gaudet P. labyrinthine layer blood vessel development lipopolysaccharide-mediated signaling pathway long-term synaptic potentiation lung morphogenesis mammary gland epithelial cell proliferation negative regulation of cell differentiation outer ear morphogenesis peptidyl-serine phosphorylation peptidyl-threonine phosphorylation positive regulation of gene expression positive regulation of macrophage chemotaxis positive regulation of macrophage proliferation positive regulation of peptidyl-threonine phosphorylation positive regulation of telomerase activity positive regulation of telomere capping positive regulation of telomere maintenance via telomerase protein phosphorylation regulation of cellular pH regulation of gene expression Gaudet P. regulation of ossification regulation of protein stability response to epidermal growth factor response to exogenous dsRNA response to nicotine stress-activated MAPK cascade T cell receptor signaling pathway thymus development thyroid gland development trachea formation,"Apoptosis, Cell cycle","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Nucleotide-binding"
DCST1,F1N6J4,F1N6J4_BOVIN,Mitogen-activated protein kinase 1,MAPK1,Bos taurus (Bovine),Reviewed,apoptotic process B cell receptor signaling pathway Bergmann glial cell differentiation cardiac neural crest cell development involved in heart development cell cycle cell surface receptor signaling pathway Gaudet P. cellular response to amino acid starvation cellular response to cadmium ion cellular response to DNA damage stimulus cellular response to dopamine cellular response to granulocyte macrophage colony-stimulating factor stimulus cellular response to reactive oxygen species cellular response to tumor necrosis factor cytosine metabolic process ERBB signaling pathway ERK1 and ERK2 cascade face development intracellular signal transduction Gaudet P. labyrinthine layer blood vessel development lipopolysaccharide-mediated signaling pathway long-term synaptic potentiation lung morphogenesis mammary gland epithelial cell proliferation negative regulation of cell differentiation outer ear morphogenesis peptidyl-serine phosphorylation peptidyl-threonine phosphorylation positive regulation of gene expression positive regulation of macrophage chemotaxis positive regulation of macrophage proliferation positive regulation of peptidyl-threonine phosphorylation positive regulation of telomerase activity positive regulation of telomere capping positive regulation of telomere maintenance via telomerase protein phosphorylation regulation of cellular pH regulation of gene expression Gaudet P. regulation of ossification regulation of protein stability response to epidermal growth factor response to exogenous dsRNA response to nicotine stress-activated MAPK cascade T cell receptor signaling pathway thymus development thyroid gland development trachea formation,"Apoptosis, Cell cycle","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Nucleotide-binding"
DCST2,,,,,,,,,,
ZBTB7B,P67808,YBOX1_BOVIN,Y-box-binding protein 1,YBX1,Bos taurus (Bovine),Reviewed,cellular response to interleukin-7 CRD-mediated mRNA stabilization embryonic morphogenesis epidermis development in utero embryonic development miRNA transport mRNA processing mRNA stabilization negative regulation of cellular senescence negative regulation of striated muscle cell differentiation negative regulation of transcription by RNA polymerase II negative regulation of translation positive regulation of cell division regulation of gene expression Gaudet P. RNA splicing RNA transport tRNA transport,"mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, Mitogen, Repressor, RNA-binding",
LENEP,A0A4W2DX70,A0A4W2DX70_BOBOX,Y-box-binding protein 1,YBX1,Bos taurus (Bovine),Reviewed,cellular response to interleukin-7 CRD-mediated mRNA stabilization embryonic morphogenesis epidermis development in utero embryonic development miRNA transport mRNA processing mRNA stabilization negative regulation of cellular senescence negative regulation of striated muscle cell differentiation negative regulation of transcription by RNA polymerase II negative regulation of translation positive regulation of cell division regulation of gene expression Gaudet P. RNA splicing RNA transport tRNA transport,"mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, Mitogen, Repressor, RNA-binding",
FLAD1,A0A3Q1MPJ2,A0A3Q1MPJ2_BOVIN,Y-box-binding protein 1,YBX1,Bos taurus (Bovine),Reviewed,cellular response to interleukin-7 CRD-mediated mRNA stabilization embryonic morphogenesis epidermis development in utero embryonic development miRNA transport mRNA processing mRNA stabilization negative regulation of cellular senescence negative regulation of striated muscle cell differentiation negative regulation of transcription by RNA polymerase II negative regulation of translation positive regulation of cell division regulation of gene expression Gaudet P. RNA splicing RNA transport tRNA transport,"mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, Mitogen, Repressor, RNA-binding",
CKS1B,Q0P5A5,CKS1_BOVIN,Cyclin-dependent kinases regulatory subunit 1,CKS1B,Bos taurus (Bovine),Reviewed,"cell division cell population proliferation mitotic cell cycle phase transition regulation of mitotic cell cycle Gaudet P. regulation of transcription, DNA-templated","Cell cycle, Cell division",,
SHC1,Q0IIE2,SHC1_BOVIN,SHC-transforming protein 1,SHC1,Bos taurus (Bovine),Reviewed,activation of MAPK activity Gaudet P. angiogenesis cellular response to growth factor stimulus cellular response to vascular endothelial growth factor stimulus Laramee M. epidermal growth factor receptor signaling pathway Gaudet P. insulin receptor signaling pathway Gaudet P. intracellular signal transduction regulation of growth transmembrane receptor protein tyrosine kinase signaling pathway Gaudet P.,"Angiogenesis, Growth regulation",,
PYGO2,A7E348,A7E348_BOVIN,SHC-transforming protein 1,SHC1,Bos taurus (Bovine),Reviewed,activation of MAPK activity Gaudet P. angiogenesis cellular response to growth factor stimulus cellular response to vascular endothelial growth factor stimulus Laramee M. epidermal growth factor receptor signaling pathway Gaudet P. insulin receptor signaling pathway Gaudet P. intracellular signal transduction regulation of growth transmembrane receptor protein tyrosine kinase signaling pathway Gaudet P.,"Angiogenesis, Growth regulation",,
PBXIP1,A6QLY7,PBIP1_BOVIN,,,,,,,,
PMVK,Q2KIU2,PMVK_BOVIN,Phosphomevalonate kinase,PMVK,Bos taurus (Bovine),Reviewed,"cholesterol biosynthetic process isopentenyl diphosphate biosynthetic process, mevalonate pathway","Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism","Kinase, Transferase","ATP-binding, Nucleotide-binding"
KCNN3,E1BHB0,E1BHB0_BOVIN,Phosphomevalonate kinase,PMVK,Bos taurus (Bovine),Reviewed,"cholesterol biosynthetic process isopentenyl diphosphate biosynthetic process, mevalonate pathway","Cholesterol biosynthesis, Cholesterol metabolism, Lipid biosynthesis, Lipid metabolism, Steroid biosynthesis, Steroid metabolism, Sterol biosynthesis, Sterol metabolism","Kinase, Transferase","ATP-binding, Nucleotide-binding"
ADAR,Q28141,DHX9_BOVIN,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome cellular response to exogenous dsRNA cellular response to tumor necrosis factor CRD-mediated mRNA stabilization DNA duplex unwinding Zhang S. DNA replication DNA-templated transcription, termination DNA-templated viral transcription G-quadruplex DNA unwinding inflammatory response innate immune response mRNA transport positive regulation of cytoplasmic translation positive regulation of DNA repair positive regulation of DNA replication positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity positive regulation of fibroblast proliferation positive regulation of gene silencing by miRNA positive regulation of interferon-alpha production positive regulation of interferon-beta production positive regulation of interleukin-6 production positive regulation of NF-kappaB transcription factor activity positive regulation of polysome binding positive regulation of response to cytokine stimulus positive regulation of RNA export from nucleus positive regulation of transcription by RNA polymerase II positive regulation of tumor necrosis factor production positive regulation of viral transcription positive regulation of viral translation protein localization to cytoplasmic stress granule regulation of cytoplasmic translation regulation of mRNA processing rhythmic process RNA secondary structure unwinding small RNA loading onto RISC targeting of mRNA for destruction involved in RNA interference","Biological rhythms, DNA replication, Immunity, Inflammatory response, Innate immunity, mRNA processing, mRNA splicing, mRNA transport, RNA-mediated gene silencing, Transcription, Transcription regulation, Transcription termination, Translation regulation, Transport","Activator, DNA-binding, Helicase, Hydrolase, RNA-binding","ATP-binding, Manganese, Metal-binding, Nucleotide-binding"
CHRNB2,A0A4W2DHS6,A0A4W2DHS6_BOBOX,ATP-dependent RNA helicase A,DHX9,Bos taurus (Bovine),Reviewed,"alternative mRNA splicing, via spliceosome cellular response to exogenous dsRNA cellular response to tumor necrosis factor CRD-mediated mRNA stabilization DNA duplex unwinding Zhang S. DNA replication DNA-templated transcription, termination DNA-templated viral transcription G-quadruplex DNA unwinding inflammatory response innate immune response mRNA transport positive regulation of cytoplasmic translation positive regulation of DNA repair positive regulation of DNA replication positive regulation of DNA topoisomerase (ATP-hydrolyzing) activity positive regulation of fibroblast proliferation positive regulation of gene silencing by miRNA positive regulation of interferon-alpha production positive regulation of interferon-beta production positive regulation of interleukin-6 production positive regulation of NF-kappaB transcription factor activity positive regulation of polysome binding positive regulation of response to cytokine stimulus positive regulation of RNA export from nucleus positive regulation of transcription by RNA polymerase II positive regulation of tumor necrosis factor production positive regulation of viral transcription positive regulation of viral translation protein localization to cytoplasmic stress granule regulation of cytoplasmic translation regulation of mRNA processing rhythmic process RNA secondary structure unwinding small RNA loading onto RISC targeting of mRNA for destruction involved in RNA interference","Biological rhythms, DNA replication, Immunity, Inflammatory response, Innate immunity, mRNA processing, mRNA splicing, mRNA transport, RNA-mediated gene silencing, Transcription, Transcription regulation, Transcription termination, Translation regulation, Transport","Activator, DNA-binding, Helicase, Hydrolase, RNA-binding","ATP-binding, Manganese, Metal-binding, Nucleotide-binding"
UBE2Q1,P08037,B4GT1_BOVIN,"Beta-1,4-galactosyltransferase 1",B4GALT1,Bos taurus (Bovine),Reviewed,acute inflammatory response angiogenesis involved in wound healing binding of sperm to zona pellucida cell adhesion development of secondary sexual characteristics epithelial cell development extracellular matrix organization galactose metabolic process lactose biosynthetic process Brew K. leukocyte migration negative regulation of cell population proliferation oligosaccharide biosynthetic process penetration of zona pellucida positive regulation of apoptotic process positive regulation of epithelial cell proliferation involved in wound healing protein galactosylation Yan S. protein N-linked glycosylation Brew K. regulation of acrosome reaction,,"Glycosyltransferase, Transferase","Manganese, Metal-binding"
TDRD10,A0A4W2HCD9,A0A4W2HCD9_BOBOX,"Beta-1,4-galactosyltransferase 1",B4GALT1,Bos taurus (Bovine),Reviewed,acute inflammatory response angiogenesis involved in wound healing binding of sperm to zona pellucida cell adhesion development of secondary sexual characteristics epithelial cell development extracellular matrix organization galactose metabolic process lactose biosynthetic process Brew K. leukocyte migration negative regulation of cell population proliferation oligosaccharide biosynthetic process penetration of zona pellucida positive regulation of apoptotic process positive regulation of epithelial cell proliferation involved in wound healing protein galactosylation Yan S. protein N-linked glycosylation Brew K. regulation of acrosome reaction,,"Glycosyltransferase, Transferase","Manganese, Metal-binding"
SHE,Q96PD6,MOGT1_HUMAN,2-acylglycerol O-acyltransferase 1,MOGAT1,Homo sapiens (Human),Reviewed,diacylglycerol biosynthetic process Gaudet P. glycerol metabolic process lipid metabolic process Gaudet P. triglyceride biosynthetic process Gaudet P.,"Glycerol metabolism, Lipid biosynthesis, Lipid metabolism","Acyltransferase, Transferase",
IL6R,E1BJQ3,E1BJQ3_BOVIN,2-acylglycerol O-acyltransferase 1,MOGAT1,Homo sapiens (Human),Reviewed,diacylglycerol biosynthetic process Gaudet P. glycerol metabolic process lipid metabolic process Gaudet P. triglyceride biosynthetic process Gaudet P.,"Glycerol metabolism, Lipid biosynthesis, Lipid metabolism","Acyltransferase, Transferase",
ATP8B2,Q17QL5,CC50A_BOVIN,Cell cycle control protein 50A,TMEM30A,Bos taurus (Bovine),Reviewed,drug transmembrane transport phospholipid translocation Coleman J.A. positive regulation of neuron projection development positive regulation of phospholipid translocation positive regulation of protein exit from endoplasmic reticulum protein localization to endosome,"Lipid transport, Transport",,
AQP10,F1MNJ1,F1MNJ1_BOVIN,Cell cycle control protein 50A,TMEM30A,Bos taurus (Bovine),Reviewed,drug transmembrane transport phospholipid translocation Coleman J.A. positive regulation of neuron projection development positive regulation of phospholipid translocation positive regulation of protein exit from endoplasmic reticulum protein localization to endosome,"Lipid transport, Transport",,
HAX1,Q2KIE2,HAX1_BOVIN,,,,,,,,
UBAP2L,A6QLT5,A6QLT5_BOVIN,,,,,,,,
C3H1orf43,F1N2C1,F1N2C1_BOVIN,,,,,,,,
C3H1orf189,Q32L75,CA189_BOVIN,,,,,,,,
TPM3,Q5KR47,TPM3_BOVIN,Tropomyosin alpha-3 chain,TPM3,Bos taurus (Bovine),Reviewed,actin filament organization Gaudet P. muscle contraction Gaudet P.,,"Actin-binding, Muscle protein",
NUP210L,F1MNL6,F1MNL6_BOVIN,Tropomyosin alpha-3 chain,TPM3,Bos taurus (Bovine),Reviewed,actin filament organization Gaudet P. muscle contraction Gaudet P.,,"Actin-binding, Muscle protein",
RPS27,P62992,RS27A_BOVIN,Ubiquitin-40S ribosomal protein S27a,RPS27A,Bos taurus (Bovine),Reviewed,modification-dependent protein catabolic process Gaudet P. protein ubiquitination Gaudet P. translation,,"Ribonucleoprotein, Ribosomal protein","Metal-binding, Zinc"
RAB13,Q58DS5,RAB13_BOVIN,Ras-related protein Rab-13,RAB13,Bos taurus (Bovine),Reviewed,bicellular tight junction assembly cellular response to insulin stimulus cortical actin cytoskeleton organization endocytic recycling endosomal transport endothelial cell chemotaxis establishment of Sertoli cell barrier neuron projection development protein kinase A signaling protein localization to cell leading edge protein localization to plasma membrane protein transport trans-Golgi network to recycling endosome transport,"Protein transport, Transport",,"GTP-binding, Nucleotide-binding"
JTB,Q7YRC6,AURKB_BOVIN,Aurora kinase B,AURKB,Bos taurus (Bovine),Reviewed,abscission Carlton J.G. Thoresen S.B. cellular response to UV cleavage furrow formation histone H3-S28 phosphorylation mitotic cytokinesis checkpoint Carlton J.G. Thoresen S.B. mitotic spindle assembly checkpoint mitotic spindle midzone assembly negative regulation of B cell apoptotic process negative regulation of cytokinesis Carlton J.G. Thoresen S.B. negative regulation of transcription by RNA polymerase II positive regulation of cytokinesis protein localization to kinetochore protein phosphorylation Carlton J.G.,"Cell cycle, Cell division, Mitosis","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
CREB3L4,E1BP88,E1BP88_BOVIN,Aurora kinase B,AURKB,Bos taurus (Bovine),Reviewed,abscission Carlton J.G. Thoresen S.B. cellular response to UV cleavage furrow formation histone H3-S28 phosphorylation mitotic cytokinesis checkpoint Carlton J.G. Thoresen S.B. mitotic spindle assembly checkpoint mitotic spindle midzone assembly negative regulation of B cell apoptotic process negative regulation of cytokinesis Carlton J.G. Thoresen S.B. negative regulation of transcription by RNA polymerase II positive regulation of cytokinesis protein localization to kinetochore protein phosphorylation Carlton J.G.,"Cell cycle, Cell division, Mitosis","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
VTCN1,E1B8H7,E1B8H7_BOVIN,Aurora kinase B,AURKB,Bos taurus (Bovine),Reviewed,abscission Carlton J.G. Thoresen S.B. cellular response to UV cleavage furrow formation histone H3-S28 phosphorylation mitotic cytokinesis checkpoint Carlton J.G. Thoresen S.B. mitotic spindle assembly checkpoint mitotic spindle midzone assembly negative regulation of B cell apoptotic process negative regulation of cytokinesis Carlton J.G. Thoresen S.B. negative regulation of transcription by RNA polymerase II positive regulation of cytokinesis protein localization to kinetochore protein phosphorylation Carlton J.G.,"Cell cycle, Cell division, Mitosis","Kinase, Serine/threonine-protein kinase, Transferase","ATP-binding, Magnesium, Metal-binding, Nucleotide-binding"
TRIM45,Q5BIM1,TRI45_BOVIN,Tripartite motif-containing protein 45,TRIM45,Bos taurus (Bovine),Reviewed,"bone development positive regulation of transcription, DNA-templated Gaudet P.",,,"Metal-binding, Zinc"
TTF2,Q2KJC1,CDC5L_BOVIN,Cell division cycle 5-like protein,CDC5L,Bos taurus (Bovine),Reviewed,"cell cycle DNA repair mRNA splicing, via spliceosome regulation of transcription by RNA polymerase II Gaudet P. signal transduction involved in DNA damage checkpoint","Cell cycle, DNA damage, DNA repair, mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, RNA-binding",
CD101,A0A3Q1MTF5,A0A3Q1MTF5_BOVIN,Cell division cycle 5-like protein,CDC5L,Bos taurus (Bovine),Reviewed,"cell cycle DNA repair mRNA splicing, via spliceosome regulation of transcription by RNA polymerase II Gaudet P. signal transduction involved in DNA damage checkpoint","Cell cycle, DNA damage, DNA repair, mRNA processing, mRNA splicing, Transcription, Transcription regulation","Activator, DNA-binding, RNA-binding",
PTGFRN,Q3ZCD0,CD81_BOVIN,CD81 antigen,CD81,Bos taurus (Bovine),Reviewed,"CD4-positive, alpha-beta T cell costimulation cellular response to low-density lipoprotein particle stimulus humoral immune response mediated by circulating immunoglobulin immunological synapse formation macrophage fusion myoblast fusion involved in skeletal muscle regeneration osteoclast fusion positive regulation of B cell activation positive regulation of B cell receptor signaling pathway positive regulation of CD4-positive, alpha-beta T cell proliferation positive regulation of inflammatory response to antigenic stimulus positive regulation of protein exit from endoplasmic reticulum positive regulation of receptor clustering positive regulation of T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell positive regulation of T cell receptor signaling pathway positive regulation of T-helper 2 cell cytokine production protein localization to plasma membrane receptor internalization regulation of macrophage migration","Adaptive immunity, Immunity",,Lipid-binding
CD2,A5D7L5,S39AE_BOVIN,Metal cation symporter ZIP14,SLC39A14,Bos taurus (Bovine),Reviewed,cadmium ion transmembrane transport cellular response to glucose stimulus cellular response to insulin stimulus cellular zinc ion homeostasis chondrocyte differentiation gluconeogenesis import across plasma membrane insulin receptor signaling pathway iron import into cell iron ion transmembrane transport manganese ion homeostasis manganese ion transmembrane transport negative regulation of cyclic-nucleotide phosphodiesterase activity positive regulation of G protein-coupled receptor signaling pathway regulation of hormone levels zinc ion import across plasma membrane zinc ion transmembrane transport Taylor K.M.,"Ion transport, Transport, Zinc transport",,Zinc
IGSF3,F1MJ00,F1MJ00_BOVIN,Metal cation symporter ZIP14,SLC39A14,Bos taurus (Bovine),Reviewed,cadmium ion transmembrane transport cellular response to glucose stimulus cellular response to insulin stimulus cellular zinc ion homeostasis chondrocyte differentiation gluconeogenesis import across plasma membrane insulin receptor signaling pathway iron import into cell iron ion transmembrane transport manganese ion homeostasis manganese ion transmembrane transport negative regulation of cyclic-nucleotide phosphodiesterase activity positive regulation of G protein-coupled receptor signaling pathway regulation of hormone levels zinc ion import across plasma membrane zinc ion transmembrane transport Taylor K.M.,"Ion transport, Transport, Zinc transport",,Zinc
CD58,F6PZJ9,F6PZJ9_BOVIN,Metal cation symporter ZIP14,SLC39A14,Bos taurus (Bovine),Reviewed,cadmium ion transmembrane transport cellular response to glucose stimulus cellular response to insulin stimulus cellular zinc ion homeostasis chondrocyte differentiation gluconeogenesis import across plasma membrane insulin receptor signaling pathway iron import into cell iron ion transmembrane transport manganese ion homeostasis manganese ion transmembrane transport negative regulation of cyclic-nucleotide phosphodiesterase activity positive regulation of G protein-coupled receptor signaling pathway regulation of hormone levels zinc ion import across plasma membrane zinc ion transmembrane transport Taylor K.M.,"Ion transport, Transport, Zinc transport",,Zinc
ATP1A1,Q08DA1,AT1A1_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
MAB21L3,A0A4W2I3U2,A0A4W2I3U2_BOBOX,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
SLC22A15,A0A4W2GFR0,A0A4W2GFR0_BOBOX,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
NHLH2,E1BCX5,E1BCX5_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
CASQ2,Q3MHM1,Q3MHM1_BOVIN,Sodium/potassium-transporting ATPase subunit alpha-1,ATP1A1,Bos taurus (Bovine),Reviewed,cellular potassium ion homeostasis Gaudet P. cellular sodium ion homeostasis Gaudet P. potassium ion import across plasma membrane Gaudet P. proton transmembrane transport Gaudet P. regulation of sodium ion transport sodium ion export across plasma membrane Gaudet P.,"Ion transport, Potassium transport, Sodium transport, Sodium/potassium transport, Transport",Translocase,"ATP-binding, Magnesium, Metal-binding, Nucleotide-binding, Potassium, Sodium"
